Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem,,,
1,3,1,2,17,8385,-0.3,0,797697,786941,,,
2,3,1,2,11,14754,0,0,545553,545553,,,
3,3,1,2,23,21552,0,0,786416,786416,,,
4,3,1,2,12,5963,0,0,203089,529693,,,
5,3,1,2,16,8847,-1.75,0,545553,847668,,,
6,3,1,2,8,12426,-2.920143027,0,800700,767759,,,
7,3,1,2,10,11476,0,0,817632,817632,,,
8,3,1,2,22,20098,2.497953917,0,570492,539914,,,
9,3,1,2,18,18554,-0.566150179,0,817923,572024,,,
10,3,1,2,1,7167,0,0,817923,817923,,,
11,3,1,2,19,21677,0,0,845632,800711,,,
12,3,1,2,21,15340,0.204652644,0,785752,791698,,,
13,3,1,2,5,18364,0.999823432,0,583459,202629,,,
14,3,1,2,24,9258,-0.383492253,0,200223,192622,,,
15,3,1,2,6,3456,-1.25,0,785377,189562,,,
16,3,1,2,15,11493,0,0,768236,768236,,,
17,3,1,2,2,3077,0,0,567741,539685,,,
18,3,1,2,13,10392,5.196662694,0,767136,817865,,,
19,3,1,2,7,6536,-0.04,0,200700,706980,,,
20,3,1,2,14,3476,0.02,0,201105,199958,,,
21,3,1,2,3,10621,0.357568534,0,799796,797697,,,
22,3,1,2,4,4210,0,0,800178,773145,,,
23,3,1,2,20,13498,-1.664729177,0,817632,786065,,,
24,3,1,2,9,4880,0,0,707834,707834,,Time,11062.5
25,3,1,2,25,4044,0.851845222,0,580880,190597,,,
26,3,2,1,18,31343,-0.458879619,0,817923,579585,,,
27,3,2,1,23,39566,-3.307213897,0,786416,799112,,,
28,3,2,1,19,15810,0,0,845632,845632,,,
29,3,2,1,17,18299,0,0,703752,772665,,,
30,3,2,1,13,5910,0.929678188,0,767136,580880,,,
31,3,2,1,15,8140,0.785583039,0,768236,189872,,,
32,3,2,1,5,10826,0,0,583459,583459,,,
33,3,2,1,2,4032,0,0,529693,798505,,,
34,3,2,1,10,4459,0,0,192041,773538,,,
35,3,2,1,14,11133,0,0,201105,571634,,,
36,3,2,1,1,15206,3.75,0,817923,845632,,,
37,3,2,1,7,7251,-4.96,0,799783,578866,,,
38,3,2,1,16,5305,0,0,545553,784093,,,
39,3,2,1,8,22598,-1.775923719,0,800700,201087,,,
40,3,2,1,24,12958,1.959513295,0,200223,845632,,,
41,3,2,1,9,3866,0,0,189562,189562,,,
42,3,2,1,11,1943,0,1,545553,767503,,,
43,3,2,1,3,10187,0.703218117,0,799796,798112,,,
44,3,2,1,4,2967,0,0,570492,568122,,,
45,3,2,1,12,19120,0,0,529693,203089,,,
46,3,2,1,22,29958,1.638569721,0,570492,852890,,,
47,3,2,1,20,9124,-0.97505241,0,817632,535287,,,
48,3,2,1,21,28549,-0.733613428,0,785752,202629,,,
49,3,2,1,6,2689,0,0,568076,568076,,Time,
50,3,2,1,25,17267,0.574190877,0,580880,799112,,,
51,3,3,3,18,10349,-0.458879619,0,817923,579585,,,
52,3,3,3,1,5832,1.5,0,817923,192622,,,
53,3,3,3,4,3594,0,0,814745,193060,,,
54,3,3,3,7,2944,-0.46,0,199958,578176,,,
55,3,3,3,10,8218,-0.071662817,0,799664,752401,,,
56,3,3,3,3,8004,0.876042908,0,799796,579048,,,
57,3,3,3,22,3380,0.988012189,0,570492,775249,,,
58,3,3,3,24,2344,0,0,200223,200223,,,
59,3,3,3,5,5464,0.031522505,0,583459,570924,,,
60,3,3,3,25,8466,-0.265713444,0,580880,772665,,,
61,3,3,3,14,5263,0.65,0,564237,852890,,,
62,3,3,3,16,4919,0,0,545553,545553,,,
63,3,3,3,23,6857,-0.473912965,0,786416,546207,,,
64,3,3,3,9,2106,0,0,767759,767759,,,
65,3,3,3,8,8067,-2.115613826,0,800700,707834,,,
66,3,3,3,19,4081,-1.29,0,791286,583459,,,
67,3,3,3,15,7956,0.80655339,0,768236,539999,,,
68,3,3,3,6,3017,0,0,579924,579924,,,
69,3,3,3,13,5043,0.929678188,0,767136,580880,,,
70,3,3,3,20,6978,-1.60597413,0,817632,789990,,,
71,3,3,3,2,6660,3.12,0,773145,200939,,,
72,3,3,3,11,4692,1.52,0,545553,785481,,,
73,3,3,3,21,11113,-2.059279345,0,785752,192622,,,
74,3,3,3,17,5331,-0.66,0,772665,581050,,,
75,3,3,3,12,11682,3.12,0,581232,201125,,,
