Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,32,1,1,19,9862,-10,0,800711,201105
2,32,1,1,17,14143,0,0,797697,579048
3,32,1,1,1,7049,0,0,817923,817923
4,32,1,1,21,34872,0.06847238873154922,0,785752,192644
5,32,1,1,25,9256,-0.6950022361391,0,580880,189763
6,32,1,1,24,47529,0,0,200223,200223
7,32,1,1,15,21643,0,0,768236,768236
8,32,1,1,9,3010,0,0,191933,191933
9,32,1,1,2,6855,0,0,784595,568122
10,32,1,1,16,7426,0,1,784093,798505
11,32,1,1,7,14495,0,0,199702,579048
12,32,1,1,23,39336,0,0,786416,786416
13,32,1,1,12,14666,0,0,567741,567741
14,32,1,1,22,23530,0.8820023837902266,0,570492,570924
15,32,1,1,20,6243,0,0,817632,817632
16,32,1,1,13,23881,0.6436233611442184,0,767136,800178
17,32,1,1,3,40167,0.25029797377830754,0,799796,767136
18,32,1,1,18,32682,-0.5184743742550655,0,817923,203857
19,32,1,1,4,2904,0,0,814745,814745
20,32,1,1,10,2903,0,0,767136,767136
21,32,1,1,8,23160,0,0,800700,800700
22,32,1,1,14,21451,0,0,564237,571634
23,32,1,1,6,3378,0,0,190597,190597
24,32,1,1,11,10907,0,1,545553,191818
25,32,1,1,5,28135,0.035265828825730594,0,583459,791698
26,32,2,2,1,15860,1.5,0,817923,192622
27,32,2,2,12,6642,0,0,529693,529693
28,32,2,2,18,14489,-5.297973778307509,0,817923,817245
29,32,2,2,21,34412,-0.27528017593875165,0,785752,783405
30,32,2,2,7,2811,-0.16,0,772665,787133
31,32,2,2,3,3903,5.589988081048867,0,799796,785031
32,32,2,2,25,7768,0.21407001584819696,0,580880,850557
33,32,2,2,16,3291,-3.625,0,784093,790129
34,32,2,2,8,6260,0,0,800700,800700
35,32,2,2,10,5379,-0.07166281703490723,0,792429,752401
36,32,2,2,2,2264,0,0,581232,581232
37,32,2,2,24,110032,0.7693805682795706,0,200223,584208
38,32,2,2,5,4393,1.862676998670537,0,583459,191897
39,32,2,2,22,26191,1.1693880352021035,0,570492,792046
40,32,2,2,6,2896,0,0,199958,202131
41,32,2,2,19,9422,-0.59,1,791286,200601
42,32,2,2,23,1989,0.08104886769964245,0,786416,767759
43,32,2,2,14,5078,0.3200000000000003,0,564237,852853
44,32,2,2,4,2255,0.6500000000000004,0,799664,852890
45,32,2,2,13,7550,0.31585220500596023,0,767136,799664
46,32,2,2,20,12459,-1.664729176963112,0,817632,705793
47,32,2,2,11,4840,1.5199999999999996,0,545553,792046
48,32,2,2,15,7823,0.6384746562517467,0,786978,785434
49,32,2,2,17,4391,-0.12,0,772665,197396
50,32,2,2,9,2746,-0.42,0,202131,846493
51,32,3,3,24,13889,1.4400466984972424,0,200223,202781
52,32,3,3,1,3489,0.5,0,817923,581232
53,32,3,3,15,8320,2.3398801944296386,0,786978,200601
54,32,3,3,14,10352,0.6500000000000004,0,571634,852890
55,32,3,3,16,5952,0,0,784093,784093
56,32,3,3,18,5000,-0.4588796185935635,0,817923,579585
57,32,3,3,12,6807,3.120000000000001,0,203089,200551
58,32,3,3,3,2563,0.9594755661501786,0,799796,703752
59,32,3,3,21,18980,-0.27528017593875165,0,785752,783405
60,32,3,3,19,2976,0,0,800711,845632
61,32,3,3,4,2296,0,0,578866,189763
62,32,3,3,20,5487,-1.664729176963112,0,817632,786065
63,32,3,3,17,3898,-1.3800000000000001,0,797697,544863
64,32,3,3,8,38057,-2.5446960667461265,0,800700,579924
65,32,3,3,10,2714,0,0,799664,579673
66,32,3,3,5,1791,0.9998234324522528,0,583459,191762
67,32,3,3,25,3631,0.21407001584819696,0,580880,850557
68,32,3,3,9,1932,0,0,783915,785434
69,32,3,3,2,5203,0,0,798505,539748
70,32,3,3,22,13638,1.470260340109132,0,570492,190753
71,32,3,3,13,3289,0.6495828367103691,0,767136,567550
72,32,3,3,6,3481,0,0,189763,544863
73,32,3,3,7,2432,-0.1,0,200700,800700
74,32,3,3,23,16792,0.19739463704809487,0,786416,819475
75,32,3,3,11,6929,1.5199999999999996,0,545553,785481
