"Id","Title","Price","Distance","Time","EstimationMusic","Popularity","Category"
"577446","Spontan Jazz Session Opener: „Echos“ (HMT Leipzig)",0.0,132.68182158218792,818,1000,223,"bar"
"578353","Kinder Halloween Party",0.0,99.97910338127693,1000,0,36,"bar"
"579153","After Work Party - Eintritt frei!",0.0,499.58545533126403,1321,0,137,"restaurant/cafe"
"578455","Bam Trash Funky Party",2.0,452.9103463158555,714,987,158,"restaurant/cafe"
"579103","AHOJ 13 - INTERNATIONALE KUNSTAUSSTELLUNG & ERÖFFNUNG DES NEUNBURGER KUNSTHERBSTS",0.0,212.53307757598145,965,37,104,"Entertainment"
"578303","Freitagspartywahnsinn mit 1 € Party!",0.0,471.95675373228914,623,377,33,"club"
"578904","SILVESTERSHOW   SOLID C.",0.0,498.8970134837929,1426,1000,54,"concert venue"
"579053","? HEUTE ? ELECTRO SWING NIGHT im Gloria 05.10.2013",9.0,475.670031510173,974,1000,854,"event planning/event services"
"578655","Gothic Party am Gögerl",0.0,403.93872197581163,1198,592,56,"Entertainment"
"578806","SALON PINK - 8. MAI 2013",0.0,170.70653833945858,824,1000,87,"Entertainment"
"578656","LADIES NIGHT",0.0,420.7853698355616,680,0,2,"club"
"578559","Nick Woodland - Live",0.0,362.82570372279844,1357,0,387,"Band"
"578406","F*** Yeah Its Friday - CENSORED!",0.0,475.9925363126199,1358,1000,11,"club"
"579108","VATERTAG",0.0,304.8819446762319,825,0,4,"restaurant/cafe"
"578907","Jupiter Cycles presents: Kneipentour Party 2015",0.0,470.13678949875356,1534,999,86,"bar"
"578407","Konzert mit  Die Zwei ",0.0,434.40083390488417,910,888,192,"local business"
"578757","WILD STARS SPECIAL",0.0,299.56418643379044,1036,957,8,"company"
"578408","McKinley Black :: Rock, Blues, Soul & Country",0.0,186.76910687156862,575,1000,135,"Entertainment"
"578858","Gitarrenkonzert & Lesung: Val Sidal",0.0,499.46590476095344,1203,7,7,"restaurant/cafe"
"578958",">> FLÄSHY FLÄSHY meets Manege Frei! <<",0.0,301.95467833822005,798,1000,6,"product/service"
"578909","Kurzführung und Konzert „KlangBilder“",6.0,479.1456246695333,1395,998,9,"museum/art gallery"
"578515","Locas In Love live (mit CATTELAN)",0.0,485.5306589855559,1505,998,355,"Band"
"578661","DIRE STRATS",0.0,363.85483638215806,1336,0,0,"club"
"578611","Pianist Oliver Niemzig in der Markthalle Cafe Prag",0.0,0.5299113341601656,1418,888,169,"restaurant/cafe"
"578517","SKOOB featuring DIPE (Dirk & Perry von ALIC)",0.0,537.4861067187704,1372,1000,197,"Entertainment"
"579112","MUNCHKIN ABEND! (Mai)",0.0,359.908699988545,1566,0,3,"shopping/retail"
"578359","Bücherminis -  Hund und Katze ",0.0,196.37808844541237,979,0,35,"library"
"578612","SmoothGroove - Break Ya Neck",0.0,1.855133289213901,1043,1000,176,"Entertainment"
"578571","Welcome 2012 Party mit DJ Falko",0.0,482.42870355400794,343,981,14,"restaurant/cafe"
"578573","Jungennachmittag!",0.0,461.9966707270019,1133,0,47,"Entertainment"
"578614","Campus United Semesterferienparty",0.0,100.58331703024508,1316,0,2,"restaurant/cafe"
"578912","KATZENGEJAMMER - KARAOKE",0.0,456.8494624184038,553,0,2,"non-profit organization"
"578615","M A S H",18.0,254.5917589770296,1348,1000,375,"restaurant/cafe"
"579068","Schwoof - Die Party",0.0,189.07531966722334,1135,998,626,"Entertainment"
"578466","LADIES WORLD ? Teilnehmen ? DIE PARTY DEINES LEBENS GEWINNEN ?",0.0,299.56418643379044,1457,39,8,"company"
"579114","1. Amadeus Advent-Café",0.0,474.63813176598546,1395,985,23,"bar"
"578578","SALON PINK / / / / 27 | 06 | 14",0.0,170.70653833945858,1239,779,87,"Entertainment"
"578668","Dancehall meets Oldschool",5.0,492.18706436206503,1359,1000,6,"club"
"578469","Asylant im Wunderland *ZUSATZTERMIN*",0.0,433.8958166595948,1469,0,29,"Entertainment"
"578580","MMF - Müslis Most Funkiest eröffnet die Session im Palast am 13.3.15",0.0,368.89191213522565,1498,0,81,"Band"
"579117","New Years / Sylvester Party",0.0,382.7933771041452,1426,1000,263,"bar"
"578523","SKARBONE 14 @VL",0.0,132.21984788860374,1351,1000,4,"non-profit organization"
"578315","Mongkong DJ Familienabend präsentiert:",0.0,362.143390343747,917,1000,209,"community"
"579078","Mischa Maisky, Cello - Meisterkonzert",0.0,374.3530582947162,1158,571,534,"local business"
"578472","90ies Trash Party ? Feiertag? @Melodrom (Karthalle) Kaufbeuren",0.0,416.1237731474524,1546,1000,8,"club"
"578265","Sugar Daddy",0.0,382.20511604180996,1023,1000,607,"Entertainment"
"579219","1 EURO PARTY",0.0,224.7794048698599,343,1000,85,"bar"
"578866","Die Grosse Görlitzer Ü30 Oster Party",7.0,87.61834988228034,1170,1000,248,"Entertainment"
"578920","Kultur-Box mit Yourwingsfly, Jetpack Elephant und Chavelynn",0.0,256.8059105092593,343,1000,70,"local business"
"579017","Tuning Emotion @ Night",0.0,113.75059697265765,554,626,13,"Entertainment"
"579086","Ladies Night",2.0,467.42351729614273,1238,0,9,"club"
"578473","RPWL - Tour zum neuen Album „Wanted“ 2014",0.0,475.15824942075426,1162,1000,645,"event planning/event services"
"578868","Fr. 27.2. Dominican Independence Day",0.0,376.11809848829256,1484,1000,4,"Entertainment"
"578474","Außer Kontrolle: Carmen",0.0,437.81854151085423,1183,0,392,"Entertainment"
"578118","?? BUBBLE BUTT FSK 16 @ KLUB KOBRA MOERS ?? ¦KNOCKOUT & FRIENDS  ¦FR. 16.05.14",0.0,496.8979500703885,1197,1000,12,"company"
"578021","TREIBsinn",10.0,536.2173479597038,1394,0,0,"Entertainment"
"577317","BLACK AGAIN",0.0,387.63995415170604,1155,0,0,"club"
"578066","Mean Stream Band – Rock",0.0,382.20511604180996,952,1000,607,"Entertainment"
"577918","THOMAS BLUG plays HENDRIX part II",0.0,498.8970134837929,442,968,54,"concert venue"
"578027","Mission 2014 - Silvester Party",2.0,467.34122942459317,1061,1000,126,"bar"
"578122","Sommer-Live-Café: Französische Chansons",6.0,499.53520086523883,1255,1000,0,"government organization"
"567405","RATIONAL Expertenküche Veranstaltungen/Partyservice und A la carte",0.0,447.3148428471727,1594,0,3,"food/beverages"
"567807","Neue Bühne Nürnberg: Perfect Happiness",0.0,261.4156823935278,705,0,235,"local business"
"567355","NACHT der offenen Tür",0.0,300.13506854016686,361,225,8,"Sport"
"568007","Partymeile",0.0,232.2000621705252,1016,0,3,"community"
"567308","Weihnachtskonzert",3.5,468.8567852006477,678,819,69,"school"
