"Id","Title","Price","Distance","Time","EstimationMusic","Popularity","Category"
"579103","AHOJ 13 - INTERNATIONALE KUNSTAUSSTELLUNG & ERÖFFNUNG DES NEUNBURGER KUNSTHERBSTS",0.0,212.53307757598145,965,37,104,"Entertainment"
"578866","Die Grosse Görlitzer Ü30 Oster Party",7.0,87.61834988228034,1170,1000,248,"Entertainment"
"568122","Neue Konzertreihe 'Blue Sunday' - Kooperation Bayerischer Hof/Jazz Institut",0.0,359.46841513871436,982,1000,500,"Bildung"
"567525","JazzJam@Milla",0.0,359.7574723708917,810,1000,17,"Bildung"
"568076","GUTELAUNEMUSIK-TOUR - Die Arbeitslosen Bauarbeiter live beim Schönherr.FEST in Chemnitz",0.0,61.69180234222089,883,1000,11,"Band"
"564237","Sensual-Kizomba-Community",4.0,362.99722077988224,1572,1000,6,"Sport"
"563384","BEST OF ACOUSTIC SLAM",4.0,474.6664573186236,488,1000,96,"Band"
"580880","Gin and Juice Session (No. 04/2015)",0.0,470.4909382575223,1480,1000,93,"Band"
"581232","Ü30 CHARTS Party",38.0,424.4044196194497,1071,1000,500,"Entertainment"
"579966","Boris Dlugosch | Studio06 | CCL",0.0,65.75516894992553,707,1000,24,"Entertainment"
"580690","THE VELVET UNDERGROUND, performed by Sister Ray Society",0.0,376.0576406393224,781,1000,13,"Band"
"580500","Mr.KITTY & Liebknecht  live at Black Revelation (Leipzig)",9.0,101.0849998052325,1491,1000,255,"Band"
"578176","Sebastian Gahler Trio live @ Ellington Bar",0.0,485.38096652071334,656,992,23,"Band"
"577674","Ü 40 Party Das Beste aus den 80",3.0,512.6231407380451,946,1000,275,"Entertainment"
"581169","STEEL VS CORE",2.0,461.48154009907876,1554,1000,30,"Entertainment"
"579988","Dia de la madre: Calle Negra",5.0,470.9657054811691,1555,997,271,"Entertainment"
"544863","Thekentratsch - Schönheit hat immer 2 Gesichter",0.0,424.64848936808966,953,0,69,"Entertainment"
"544318","XMas Pornstar 2012",12.0,328.3921082352811,688,1000,45,"Entertainment"
"544470","Zumba-Chrismas-Party",13.0,331.9165245116549,687,710,0,"Sport"
"579673","Elektrodisko goes KOSTBAR CLUB + special guest TOBIAS BALDINI | Eintritt frei!",0.0,0,532,1000,29,"Band"
"579924","fasten your seatbelt",0.0,61.78100339743525,476,1000,39,"Band"
"579585","Balling  The Great Ballerz Night ",0.0,439.8125119392884,407,1000,16,"Band"
"540939","MIXTAPE vs. SIEGEN",4.0,400.23072986237844,665,1000,339,"Entertainment"
"581050","TURN UP - 09.05 Easy Club",25.0,510.30236839128503,1555,1000,33,"Entertainment"
"580597","TORSTEN SCHLOSSER ICH BIN KURZ DAVOR, DIESES PROGRAMM ABZUBRECHEN",10.0,512.6231407380451,1322,0,275,"Entertainment"
"545150","JugendFEIEREI- die U18-Party! | 27.02. | JuZe Irsingen",0.0,402.6968169332304,1484,994,26,"Entertainment"
"545553","Solid Rotation w/ STN",0.0,152.27466177631126,1435,1000,21,"Beauty"
